#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 04 09 21 20 999 99.0 99.0  0.87 11.11  4.01  68 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 09 21 50 999 99.0 99.0  0.87 11.11  4.18  58 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 09 22 20 999 99.0 99.0  0.92  3.70  3.95 190 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 09 22 50 999 99.0 99.0  0.90  3.70  3.87 189 9999.0 999.0  12.7 999.0 99.0 99.00
2012 04 09 23 20 999 99.0 99.0  0.89  9.88  3.85  66 9999.0 999.0  12.7 999.0 99.0 99.00
2012 04 09 23 50 999 99.0 99.0  0.81 10.53  4.24  72 9999.0 999.0  12.7 999.0 99.0 99.00
2012 04 10 00 20 999 99.0 99.0  0.75 10.53  4.17  66 9999.0 999.0  12.6 999.0 99.0 99.00
2012 04 10 00 50 999 99.0 99.0  0.75 10.53  3.95  71 9999.0 999.0  12.6 999.0 99.0 99.00
2012 04 10 01 20 999 99.0 99.0  0.84 10.53  3.80  66 9999.0 999.0  12.9 999.0 99.0 99.00
2012 04 10 02 20 999 99.0 99.0  0.83  9.88  3.78  65 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 02 50 999 99.0 99.0  0.82 10.53  3.69  75 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 03 20 999 99.0 99.0  0.85  9.88  3.71  71 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 03 50 999 99.0 99.0  0.84 10.53  3.76  73 9999.0 999.0  13.1 999.0 99.0 99.00
2012 04 10 04 20 999 99.0 99.0  0.88  9.88  3.81  64 9999.0 999.0  13.1 999.0 99.0 99.00
2012 04 10 04 50 999 99.0 99.0  0.93  4.00  3.81 175 9999.0 999.0  13.1 999.0 99.0 99.00
2012 04 10 05 20 999 99.0 99.0  0.98  9.88  3.96  59 9999.0 999.0  13.1 999.0 99.0 99.00
2012 04 10 05 50 999 99.0 99.0  0.97  4.35  3.84 179 9999.0 999.0  13.0 999.0 99.0 99.00
2012 04 10 06 20 999 99.0 99.0  0.92  4.00  3.75 190 9999.0 999.0  13.0 999.0 99.0 99.00
2012 04 10 06 50 999 99.0 99.0  0.96  3.85  3.78 183 9999.0 999.0  13.0 999.0 99.0 99.00
2012 04 10 07 20 999 99.0 99.0  0.98  4.17  3.77 180 9999.0 999.0  12.9 999.0 99.0 99.00
2012 04 10 07 50 999 99.0 99.0  0.92  5.00  3.63 183 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 10 08 20 999 99.0 99.0  0.91  5.56  3.61 177 9999.0 999.0  12.9 999.0 99.0 99.00
2012 04 10 08 50 999 99.0 99.0  0.90  2.78  3.45 308 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 10 09 20 999 99.0 99.0  0.96  3.03  3.47 338 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 10 09 50 999 99.0 99.0  0.89  3.57  3.57 345 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 10 10 20 999 99.0 99.0  0.92  3.57  3.67 353 9999.0 999.0  12.8 999.0 99.0 99.00
2012 04 10 10 50 999 99.0 99.0  0.94  3.85  3.75   0 9999.0 999.0  12.9 999.0 99.0 99.00
2012 04 10 11 20 999 99.0 99.0  0.89  3.85  3.90   0 9999.0 999.0  12.9 999.0 99.0 99.00
2012 04 10 11 50 999 99.0 99.0  0.81  3.85  4.03   6 9999.0 999.0  13.0 999.0 99.0 99.00
2012 04 10 12 20 999 99.0 99.0  0.82  5.26  4.00 177 9999.0 999.0  13.0 999.0 99.0 99.00
2012 04 10 12 50 999 99.0 99.0  0.78  5.56  4.10 176 9999.0 999.0  13.0 999.0 99.0 99.00
2012 04 10 13 20 999 99.0 99.0  0.82  5.56  4.30 175 9999.0 999.0  13.1 999.0 99.0 99.00
2012 04 10 13 50 999 99.0 99.0  0.84  5.56  4.43 173 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 14 20 999 99.0 99.0  0.83  5.88  4.55 170 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 14 50 999 99.0 99.0  0.81  6.25  4.68 166 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 15 20 999 99.0 99.0  0.77  5.88  4.75 162 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 15 50 999 99.0 99.0  0.76  5.26  4.88 155 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 16 20 999 99.0 99.0  0.80  5.88  4.72 165 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 16 50 999 99.0 99.0  0.71  5.26  4.19 148 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 17 20 999 99.0 99.0  0.76  6.25  4.09 166 9999.0 999.0  13.3 999.0 99.0 99.00
2012 04 10 17 50 999 99.0 99.0  0.73  5.00  3.88 156 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 18 20 999 99.0 99.0  0.74  5.56  3.91 162 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 18 50 999 99.0 99.0  0.73  5.56  3.78 162 9999.0 999.0  13.2 999.0 99.0 99.00
2012 04 10 19 20 999 99.0 99.0  0.81  5.26  3.90 158 9999.0 999.0  13.1 999.0 99.0 99.00
2012 04 10 19 50 999 99.0 99.0  0.74  5.88  3.79 168 9999.0 999.0  13.1 999.0 99.0 99.00
