#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 02 01 47 999 99.0 99.0  0.62  3.03  2.89 192 9999.0 999.0   9.4 999.0 99.0 99.00
2015 01 02 02 17 999 99.0 99.0  0.60  3.12  2.89 182 9999.0 999.0   9.4 999.0 99.0 99.00
2015 01 02 02 47 999 99.0 99.0  0.60  2.78  2.96 187 9999.0 999.0   9.4 999.0 99.0 99.00
2015 01 02 03 17 999 99.0 99.0  0.57  3.33  3.00 169 9999.0 999.0   9.4 999.0 99.0 99.00
2015 01 02 03 47 999 99.0 99.0  0.57  3.45  3.03 168 9999.0 999.0   9.4 999.0 99.0 99.00
2015 01 02 04 17 999 99.0 99.0  0.64  4.00  3.05 173 9999.0 999.0   9.5 999.0 99.0 99.00
2015 01 02 04 47 999 99.0 99.0  0.62  4.00  3.01 173 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 05 17 999 99.0 99.0  0.65  3.70  3.11 173 9999.0 999.0   9.7 999.0 99.0 99.00
2015 01 02 05 47 999 99.0 99.0  0.70  4.17  3.16 170 9999.0 999.0   9.7 999.0 99.0 99.00
2015 01 02 06 17 999 99.0 99.0  0.71  2.63  3.09 238 9999.0 999.0   9.7 999.0 99.0 99.00
2015 01 02 06 47 999 99.0 99.0  0.73  2.70  3.10 256 9999.0 999.0  10.0 999.0 99.0 99.00
2015 01 02 07 17 999 99.0 99.0  0.68  2.56  3.03 248 9999.0 999.0  10.1 999.0 99.0 99.00
2015 01 02 07 47 999 99.0 99.0  0.69  3.03  3.05 245 9999.0 999.0  10.1 999.0 99.0 99.00
2015 01 02 08 17 999 99.0 99.0  0.70  3.12  3.05 238 9999.0 999.0  10.2 999.0 99.0 99.00
2015 01 02 08 47 999 99.0 99.0  0.71  2.94  3.12 252 9999.0 999.0  10.1 999.0 99.0 99.00
2015 01 02 09 17 999 99.0 99.0  0.69  2.78  3.10 248 9999.0 999.0  10.0 999.0 99.0 99.00
2015 01 02 09 47 999 99.0 99.0  0.66  2.78  3.11 242 9999.0 999.0   9.9 999.0 99.0 99.00
2015 01 02 10 17 999 99.0 99.0  0.68  4.35  3.17 169 9999.0 999.0   9.9 999.0 99.0 99.00
2015 01 02 10 47 999 99.0 99.0  0.65  4.35  3.15 166 9999.0 999.0   9.8 999.0 99.0 99.00
2015 01 02 11 17 999 99.0 99.0  0.67  4.17  3.15 183 9999.0 999.0   9.8 999.0 99.0 99.00
2015 01 02 11 47 999 99.0 99.0  0.62  4.55  3.12 183 9999.0 999.0   9.8 999.0 99.0 99.00
2015 01 02 12 17 999 99.0 99.0  0.63  4.55  3.15 177 9999.0 999.0   9.7 999.0 99.0 99.00
2015 01 02 12 47 999 99.0 99.0  0.64  4.55  3.13 176 9999.0 999.0   9.7 999.0 99.0 99.00
2015 01 02 13 47 999 99.0 99.0  0.62  5.00  3.27 180 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 14 17 999 99.0 99.0  0.61  5.00  3.45 182 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 14 47 999 99.0 99.0  0.60  5.00  3.49 180 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 15 17 999 99.0 99.0  0.55  5.00  3.56 173 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 15 47 999 99.0 99.0  0.53  5.00  3.63 183 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 16 17 999 99.0 99.0  0.51  5.26  3.64 180 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 16 47 999 99.0 99.0  0.53  5.00  3.88 179 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 17 17 999 99.0 99.0  0.56  5.00  3.95 182 9999.0 999.0   9.6 999.0 99.0 99.00
2015 01 02 17 47 999 99.0 99.0  0.53  5.00  4.02 175 9999.0 999.0   9.7 999.0 99.0 99.00
2015 01 02 18 17 999 99.0 99.0  0.52  5.00  3.77 179 9999.0 999.0   9.7 999.0 99.0 99.00
2015 01 02 18 47 999 99.0 99.0  0.52  5.00  3.86 175 9999.0 999.0   9.8 999.0 99.0 99.00
2015 01 02 19 17 999 99.0 99.0  0.52  5.00  3.91 175 9999.0 999.0   9.8 999.0 99.0 99.00
2015 01 02 19 47 999 99.0 99.0  0.49  5.00  3.89 182 9999.0 999.0   9.9 999.0 99.0 99.00
2015 01 02 20 17 999 99.0 99.0  0.48  5.00  4.07 186 9999.0 999.0   9.8 999.0 99.0 99.00
2015 01 02 20 47 999 99.0 99.0  0.48  5.00  3.93 183 9999.0 999.0   9.9 999.0 99.0 99.00
2015 01 02 21 17 999 99.0 99.0  0.46  4.76  3.96 182 9999.0 999.0   9.9 999.0 99.0 99.00
2015 01 02 21 47 999 99.0 99.0  0.42  5.00  4.10 179 9999.0 999.0  10.0 999.0 99.0 99.00
2015 01 02 22 17 999 99.0 99.0  0.43  4.55  4.20 182 9999.0 999.0  10.1 999.0 99.0 99.00
2015 01 02 22 47 999 99.0 99.0  0.39  4.76  4.13 179 9999.0 999.0  10.3 999.0 99.0 99.00
2015 01 02 23 17 999 99.0 99.0  0.41  4.55  4.06 183 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 02 23 47 999 99.0 99.0  0.42  4.55  3.97 176 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 03 00 17 999 99.0 99.0  0.42  4.55  3.91 176 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 00 47 999 99.0 99.0  0.39  4.35  3.97 179 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 01 17 999 99.0 99.0  0.38  4.35  3.75 173 9999.0 999.0  10.6 999.0 99.0 99.00
2015 01 03 01 47 999 99.0 99.0  0.37  4.17  3.85 173 9999.0 999.0  10.6 999.0 99.0 99.00
2015 01 03 02 17 999 99.0 99.0  0.37  4.35  3.72 173 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 02 47 999 99.0 99.0  0.34  4.35  3.81 175 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 03 17 999 99.0 99.0  0.35  4.35  3.83 170 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 03 47 999 99.0 99.0  0.35  4.55  3.67 152 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 04 17 999 99.0 99.0  0.38  7.14  3.43 132 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 04 47 999 99.0 99.0  0.40  4.55  3.25 151 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 05 17 999 99.0 99.0  0.42  2.70  3.24  41 9999.0 999.0  10.5 999.0 99.0 99.00
2015 01 03 05 47 999 99.0 99.0  0.44  4.35  3.28 132 9999.0 999.0  10.6 999.0 99.0 99.00
2015 01 03 06 17 999 99.0 99.0  0.44  2.94  3.15  38 9999.0 999.0  10.6 999.0 99.0 99.00
2015 01 03 06 47 999 99.0 99.0  0.49  2.86  3.07  33 9999.0 999.0  10.6 999.0 99.0 99.00
2015 01 03 07 17 999 99.0 99.0  0.54  3.03  3.03  37 9999.0 999.0  10.7 999.0 99.0 99.00
2015 01 03 07 47 999 99.0 99.0  0.60  3.12  3.09  34 9999.0 999.0  10.8 999.0 99.0 99.00
2015 01 03 08 17 999 99.0 99.0  0.63  3.45  3.20  28 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 03 08 47 999 99.0 99.0  0.64  3.45  3.24  31 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 03 09 17 999 99.0 99.0  0.59  3.45  3.31  23 9999.0 999.0  11.2 999.0 99.0 99.00
2015 01 03 09 47 999 99.0 99.0  0.58  3.70  3.43  34 9999.0 999.0  11.4 999.0 99.0 99.00
2015 01 03 10 17 999 99.0 99.0  0.58  3.85  3.46  45 9999.0 999.0  11.6 999.0 99.0 99.00
2015 01 03 10 47 999 99.0 99.0  0.57  4.00  3.45  33 9999.0 999.0  11.6 999.0 99.0 99.00
2015 01 03 11 17 999 99.0 99.0  0.61  3.85  3.49  42 9999.0 999.0  11.1 999.0 99.0 99.00
2015 01 03 11 47 999 99.0 99.0  0.67  4.00  3.51  41 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 03 12 17 999 99.0 99.0  0.71  4.17  3.52  34 9999.0 999.0  10.8 999.0 99.0 99.00
2015 01 03 12 47 999 99.0 99.0  0.77  4.35  3.57  37 9999.0 999.0  10.8 999.0 99.0 99.00
2015 01 03 13 17 999 99.0 99.0  0.83  4.55  3.56  31 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 03 13 47 999 99.0 99.0  0.89  4.17  3.64  38 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 03 14 17 999 99.0 99.0  0.94  4.35  3.74  40 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 03 14 47 999 99.0 99.0  0.97  4.35  3.83  44 9999.0 999.0  11.1 999.0 99.0 99.00
2015 01 03 15 17 999 99.0 99.0  1.05  4.35  3.90  52 9999.0 999.0  11.3 999.0 99.0 99.00
2015 01 03 15 47 999 99.0 99.0  1.06  4.35  3.86  59 9999.0 999.0  11.4 999.0 99.0 99.00
2015 01 03 16 17 999 99.0 99.0  1.16  5.00  3.85  38 9999.0 999.0  11.4 999.0 99.0 99.00
2015 01 03 16 47 999 99.0 99.0  1.22  5.26  3.98  40 9999.0 999.0  11.4 999.0 99.0 99.00
2015 01 03 17 17 999 99.0 99.0  1.22  4.35  3.99  99 9999.0 999.0  11.5 999.0 99.0 99.00
2015 01 03 17 47 999 99.0 99.0  1.34  5.00  4.12  75 9999.0 999.0  11.6 999.0 99.0 99.00
2015 01 03 18 17 999 99.0 99.0  1.46  4.76  4.17 103 9999.0 999.0  11.7 999.0 99.0 99.00
2015 01 03 18 47 999 99.0 99.0  1.61  5.00  4.37  90 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 03 19 17 999 99.0 99.0  1.52  5.00  4.33 102 9999.0 999.0  12.0 999.0 99.0 99.00
2015 01 03 19 47 999 99.0 99.0  1.63  5.00  4.43 111 9999.0 999.0  12.4 999.0 99.0 99.00
2015 01 03 20 17 999 99.0 99.0  1.81  5.26  4.56 110 9999.0 999.0  12.9 999.0 99.0 99.00
2015 01 03 20 47 999 99.0 99.0  1.68  5.56  4.57 107 9999.0 999.0  13.3 999.0 99.0 99.00
2015 01 03 21 17 999 99.0 99.0  1.73  5.88  4.70 114 9999.0 999.0  13.7 999.0 99.0 99.00
