#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 00 999 99.0 99.0  1.27  4.35  4.22 359 9999.0 999.0  15.4 999.0 99.0 99.00
2016 01 01 00 30 999 99.0 99.0  1.28  9.88  4.41  57 9999.0 999.0  15.4 999.0 99.0 99.00
2016 01 01 01 00 999 99.0 99.0  1.34  4.55  4.48  31 9999.0 999.0  15.3 999.0 99.0 99.00
2016 01 01 01 30 999 99.0 99.0  1.29  4.55  4.56  31 9999.0 999.0  15.4 999.0 99.0 99.00
2016 01 01 02 30 999 99.0 99.0  1.26  4.55  4.56  31 9999.0 999.0  15.4 999.0 99.0 99.00
2016 01 01 03 00 999 99.0 99.0  1.27  4.55  4.81  26 9999.0 999.0  15.4 999.0 99.0 99.00
2016 01 01 03 30 999 99.0 99.0  1.18  4.35  4.61  42 9999.0 999.0  15.3 999.0 99.0 99.00
2016 01 01 04 00 999 99.0 99.0  1.24  7.14  4.94 144 9999.0 999.0  15.3 999.0 99.0 99.00
2016 01 01 04 30 999 99.0 99.0  1.17  9.88  4.74  71 9999.0 999.0  15.3 999.0 99.0 99.00
2016 01 01 05 00 999 99.0 99.0  1.21  9.88  4.87  47 9999.0 999.0  15.3 999.0 99.0 99.00
2016 01 01 05 30 999 99.0 99.0  1.23 10.53  5.11  61 9999.0 999.0  15.3 999.0 99.0 99.00
2016 01 01 06 30 999 99.0 99.0  1.27 10.53  5.18  69 9999.0 999.0  15.3 999.0 99.0 99.00
2016 01 01 07 00 999 99.0 99.0  1.14 10.53  4.76  72 9999.0 999.0  15.2 999.0 99.0 99.00
2016 01 01 07 30 999 99.0 99.0  1.28 10.53  5.11  69 9999.0 999.0  15.2 999.0 99.0 99.00
2016 01 01 08 00 999 99.0 99.0  1.20 10.53  5.06  66 9999.0 999.0  15.2 999.0 99.0 99.00
2016 01 01 08 30 999 99.0 99.0  1.24 10.53  5.16  58 9999.0 999.0  15.2 999.0 99.0 99.00
2016 01 01 09 00 999 99.0 99.0  1.23 10.53  5.07  69 9999.0 999.0  15.2 999.0 99.0 99.00
2016 01 01 09 30 999 99.0 99.0  1.24 10.53  5.02  62 9999.0 999.0  15.2 999.0 99.0 99.00
2016 01 01 10 30 999 99.0 99.0  1.22  9.88  5.04  72 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 11 00 999 99.0 99.0  1.22  9.88  5.24  78 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 11 30 999 99.0 99.0  1.25 10.53  5.21  48 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 12 00 999 99.0 99.0  1.20 10.53  4.95  68 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 12 30 999 99.0 99.0  1.21 11.11  5.03  61 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 13 00 999 99.0 99.0  1.11 10.53  4.88  55 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 13 30 999 99.0 99.0  1.17 10.53  5.04  64 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 14 30 999 99.0 99.0  1.20 11.11  4.75  54 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 15 00 999 99.0 99.0  1.27 11.11  4.74  54 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 15 30 999 99.0 99.0  1.23  9.88  4.67  54 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 16 00 999 99.0 99.0  1.26 10.53  4.80  41 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 16 30 999 99.0 99.0  1.40 11.11  4.91  61 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 17 00 999 99.0 99.0  1.40 10.53  4.94  59 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 17 30 999 99.0 99.0  1.42  5.26  4.99  20 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 18 30 999 99.0 99.0  1.45  5.56  5.07  17 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 19 00 999 99.0 99.0  1.46  9.88  5.29  58 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 19 30 999 99.0 99.0  1.41  5.26  5.21  21 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 20 00 999 99.0 99.0  1.33  5.26  5.12  12 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 20 30 999 99.0 99.0  1.34  5.56  5.37  23 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 21 00 999 99.0 99.0  1.45  5.56  5.27  14 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 21 30 999 99.0 99.0  1.25  5.56  5.23  27 9999.0 999.0  15.1 999.0 99.0 99.00
2016 01 01 22 30 999 99.0 99.0  1.31  5.56  5.39  30 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 01 23 00 999 99.0 99.0  1.31  5.88  5.45  23 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 01 23 30 999 99.0 99.0  1.25  5.56  5.49  33 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 00 00 999 99.0 99.0  1.21  6.67  5.61  61 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 01 00 999 99.0 99.0  1.13 10.53  5.68  62 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 01 30 999 99.0 99.0  1.17  5.88  5.54  31 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 02 30 999 99.0 99.0  1.12  7.69  5.58 120 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 03 00 999 99.0 99.0  1.08  7.69  5.26 100 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 03 30 999 99.0 99.0  1.09  9.09  5.12  85 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 04 00 999 99.0 99.0  1.12  7.69  4.88 106 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 05 00 999 99.0 99.0  1.22  9.09  4.70  83 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 05 30 999 99.0 99.0  1.21  8.33  4.57  99 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 06 30 999 99.0 99.0  1.29  4.35  4.50 352 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 07 00 999 99.0 99.0  1.29  4.17  4.45 342 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 07 30 999 99.0 99.0  1.35  4.55  4.58 350 9999.0 999.0  15.0 999.0 99.0 99.00
2016 01 02 08 00 999 99.0 99.0  1.39  4.55  4.66 346 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 09 00 999 99.0 99.0  1.34  4.76  4.46 348 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 09 30 999 99.0 99.0  1.36  5.00  4.52 353 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 10 30 999 99.0 99.0  1.31  4.76  4.49 353 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 11 00 999 99.0 99.0  1.27  4.55  4.38 348 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 11 30 999 99.0 99.0  1.25  5.00  4.42  13 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 12 00 999 99.0 99.0  1.23  5.26  4.39  24 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 12 30 999 99.0 99.0  1.27  5.26  4.50  13 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 13 00 999 99.0 99.0  1.29  4.55  4.43 356 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 13 30 999 99.0 99.0  1.26  5.26  4.51  27 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 14 30 999 99.0 99.0  1.21  5.56  4.53  21 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 15 00 999 99.0 99.0  1.32  5.26  4.77  21 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 15 30 999 99.0 99.0  1.25  5.56  4.67  20 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 16 00 999 99.0 99.0  1.20  5.26  4.74  19 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 16 30 999 99.0 99.0  1.19  5.88  4.77  34 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 17 00 999 99.0 99.0  1.15  5.56  4.71  21 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 17 30 999 99.0 99.0  1.28  5.56  4.84  21 9999.0 999.0  14.8 999.0 99.0 99.00
2016 01 02 18 30 999 99.0 99.0  1.25  5.56  5.02  12 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 19 00 999 99.0 99.0  1.29  6.67  5.20  23 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 19 30 999 99.0 99.0  1.11  6.25  5.08  23 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 20 00 999 99.0 99.0  1.12  5.88  5.11  21 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 20 30 999 99.0 99.0  1.07  6.67  5.15  30 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 21 00 999 99.0 99.0  1.10  6.25  5.33  26 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 21 30 999 99.0 99.0  1.10  5.88  5.36  35 9999.0 999.0  14.9 999.0 99.0 99.00
2016 01 02 22 30 999 99.0 99.0  1.08  5.26  5.51  23 9999.0 999.0  14.8 999.0 99.0 99.00
