Distance (m),Depth (m)
2.160000000000000000e+02,1.214214762988762963e+00
2.170000000000000000e+02,1.223715946944533339e+00
2.180000000000000000e+02,1.233245562608966894e+00
2.190000000000000000e+02,1.242803509151861441e+00
2.200000000000000000e+02,1.252389685743015235e+00
2.210000000000000000e+02,1.262003991552226090e+00
2.220000000000000000e+02,1.271646325749292039e+00
2.230000000000000000e+02,1.281316587504011117e+00
2.240000000000000000e+02,1.291014675986181137e+00
2.250000000000000000e+02,1.300740490365600799e+00
2.260000000000000000e+02,1.310493929812067915e+00
2.270000000000000000e+02,1.320274893495380075e+00
2.280000000000000000e+02,1.330083280585335537e+00
2.290000000000000000e+02,1.339918990251732556e+00
2.300000000000000000e+02,1.349781921664368722e+00
2.310000000000000000e+02,1.359671973993042737e+00
2.320000000000000000e+02,1.369589046407551747e+00
2.330000000000000000e+02,1.379533038077694673e+00
2.340000000000000000e+02,1.389503848173269107e+00
2.350000000000000000e+02,1.399501375864073083e+00
2.360000000000000000e+02,1.409525520319904635e+00
2.370000000000000000e+02,1.419576180710562019e+00
2.380000000000000000e+02,1.429653256205842826e+00
2.390000000000000000e+02,1.439756645975545535e+00
2.400000000000000000e+02,1.449886249189467957e+00
2.410000000000000000e+02,1.460041965017407906e+00
2.420000000000000000e+02,1.470223692629164081e+00
2.430000000000000000e+02,1.480431331194534295e+00
2.440000000000000000e+02,1.490664779883315916e+00
2.450000000000000000e+02,1.500923937865307645e+00
2.460000000000000000e+02,1.511208704310307294e+00
2.470000000000000000e+02,1.521518978388113119e+00
2.480000000000000000e+02,1.531854659268522934e+00
2.490000000000000000e+02,1.542215646121334549e+00
2.500000000000000000e+02,1.552601838116346666e+00
2.510000000000000000e+02,1.563013134423356654e+00
2.520000000000000000e+02,1.573449434212162767e+00
2.530000000000000000e+02,1.583910636652563264e+00
2.540000000000000000e+02,1.594396640914355956e+00
2.550000000000000000e+02,1.604907346167338877e+00
2.560000000000000000e+02,1.615442651581310063e+00
2.570000000000000000e+02,1.626002456326067769e+00
2.580000000000000000e+02,1.636586659571409585e+00
2.590000000000000000e+02,1.647195160487133991e+00
2.600000000000000000e+02,1.657827858243038577e+00
2.610000000000000000e+02,1.668484652008922042e+00
2.620000000000000000e+02,1.679165440954581978e+00
2.630000000000000000e+02,1.689870124249816197e+00
2.640000000000000000e+02,1.700598601064423177e+00
2.650000000000000000e+02,1.711350770568200286e+00
2.660000000000000000e+02,1.722126531930946891e+00
2.670000000000000000e+02,1.732925784322459473e+00
2.680000000000000000e+02,1.743748426912537175e+00
2.690000000000000000e+02,1.754594358870977366e+00
2.700000000000000000e+02,1.765463479367578303e+00
2.710000000000000000e+02,1.776355687572138464e+00
2.720000000000000000e+02,1.787270882654455217e+00
2.730000000000000000e+02,1.798208963784326597e+00
2.740000000000000000e+02,1.809169830131551304e+00
2.750000000000000000e+02,1.820153380865926707e+00
2.760000000000000000e+02,1.831159515157251061e+00
2.770000000000000000e+02,1.842188132175322846e+00
2.780000000000000000e+02,1.853239131089939429e+00
2.790000000000000000e+02,1.864312411070898623e+00
2.800000000000000000e+02,1.875407871287999573e+00
2.810000000000000000e+02,1.886525410911039646e+00
2.820000000000000000e+02,1.897664929109816656e+00
2.830000000000000000e+02,1.908826325054129303e+00
2.840000000000000000e+02,1.920009497913774510e+00
2.850000000000000000e+02,1.931214346858551423e+00
2.860000000000000000e+02,1.942440771058257409e+00
2.870000000000000000e+02,1.953688669682691170e+00
2.880000000000000000e+02,1.964957941901650074e+00
2.890000000000000000e+02,1.976248486884932820e+00
2.900000000000000000e+02,1.987560203802337000e+00
2.910000000000000000e+02,1.998892991823659759e+00
2.920000000000000000e+02,2.010246750118700909e+00
2.930000000000000000e+02,2.021621377857257151e+00
2.940000000000000000e+02,2.033016774209127409e+00
2.950000000000000000e+02,2.044432838344109271e+00
2.960000000000000000e+02,2.055869469432000329e+00
2.970000000000000000e+02,2.067326566642599506e+00
2.980000000000000000e+02,2.078804029145703947e+00
2.990000000000000000e+02,2.090301756111112574e+00
3.000000000000000000e+02,2.101819646708622980e+00
3.010000000000000000e+02,2.113357600108033640e+00
3.020000000000000000e+02,2.124915515479140815e+00
3.030000000000000000e+02,2.136493291991745203e+00
3.040000000000000000e+02,2.148090828815643061e+00
3.050000000000000000e+02,2.159708025120632868e+00
3.060000000000000000e+02,2.171344780076513103e+00
3.070000000000000000e+02,2.183000992853080469e+00
3.080000000000000000e+02,2.194676562620134330e+00
3.090000000000000000e+02,2.206371388547472723e+00
3.100000000000000000e+02,2.218085369804892792e+00
3.110000000000000000e+02,2.229818405562193462e+00
3.120000000000000000e+02,2.241570394989171877e+00
3.130000000000000000e+02,2.253341237255626517e+00
3.140000000000000000e+02,2.265130831531355859e+00
3.150000000000000000e+02,2.276939076986157495e+00
3.160000000000000000e+02,2.288765872789829015e+00
3.170000000000000000e+02,2.300611118112169784e+00
3.180000000000000000e+02,2.312474712122976506e+00
3.190000000000000000e+02,2.324356553992047214e+00
3.200000000000000000e+02,2.336256542889180388e+00
3.210000000000000000e+02,2.348174577984174505e+00
3.220000000000000000e+02,2.360110558446827156e+00
3.230000000000000000e+02,2.372064383446936375e+00
3.240000000000000000e+02,2.384035952154300197e+00
3.250000000000000000e+02,2.396025163738716657e+00
3.260000000000000000e+02,2.408031917369983788e+00
3.270000000000000000e+02,2.420056112217899624e+00
3.280000000000000000e+02,2.432097647452262201e+00
3.290000000000000000e+02,2.444156422242869109e+00
3.300000000000000000e+02,2.456232335759519714e+00
3.310000000000000000e+02,2.468325287172010718e+00
3.320000000000000000e+02,2.480435175650141044e+00
3.330000000000000000e+02,2.492561900363707839e+00
3.340000000000000000e+02,2.504705360482509580e+00
3.350000000000000000e+02,2.516865455176344746e+00
3.360000000000000000e+02,2.529042083615010039e+00
3.370000000000000000e+02,2.541235144968305271e+00
3.380000000000000000e+02,2.553444538406027142e+00
3.390000000000000000e+02,2.565670163097974577e+00
3.400000000000000000e+02,2.577911918213944720e+00
3.410000000000000000e+02,2.590169702923736050e+00
3.420000000000000000e+02,2.602443416397147047e+00
3.430000000000000000e+02,2.614732957803974855e+00
3.440000000000000000e+02,2.627038226314017955e+00
3.450000000000000000e+02,2.639359121097075267e+00
3.460000000000000000e+02,2.651695541322942606e+00
3.470000000000000000e+02,2.664047386161420228e+00
3.480000000000000000e+02,2.676414554782305277e+00
3.490000000000000000e+02,2.688796946355395789e+00
3.500000000000000000e+02,2.701194460050489354e+00
3.510000000000000000e+02,2.713606995037384895e+00
3.520000000000000000e+02,2.726034450485880001e+00
3.530000000000000000e+02,2.738476725565772263e+00
3.540000000000000000e+02,2.750933719446860604e+00
3.550000000000000000e+02,2.763405331298942613e+00
3.560000000000000000e+02,2.775891460291815882e+00
3.570000000000000000e+02,2.788392005595278889e+00
3.580000000000000000e+02,2.800906866379129667e+00
3.590000000000000000e+02,2.813435941813166696e+00
3.600000000000000000e+02,2.825979131067187566e+00
3.610000000000000000e+02,2.838536333310990312e+00
3.620000000000000000e+02,2.851107447714372967e+00
3.630000000000000000e+02,2.863692373447133122e+00
3.640000000000000000e+02,2.876291009679069255e+00
3.650000000000000000e+02,2.888903255579980289e+00
3.660000000000000000e+02,2.901529010319662483e+00
3.670000000000000000e+02,2.914168173067915202e+00
3.680000000000000000e+02,2.926820642994536037e+00
3.690000000000000000e+02,2.939486319269322578e+00
3.700000000000000000e+02,2.952165101062073749e+00
3.710000000000000000e+02,2.964856887542586694e+00
3.720000000000000000e+02,2.977561577880660337e+00
3.730000000000000000e+02,2.990279071246091824e+00
3.740000000000000000e+02,3.003009266808680522e+00
3.750000000000000000e+02,3.015752063738222244e+00
3.760000000000000000e+02,3.028507361204517245e+00
3.770000000000000000e+02,3.041275058377362228e+00
3.780000000000000000e+02,3.054055054426556115e+00
3.790000000000000000e+02,3.066847248521896940e+00
3.800000000000000000e+02,3.079651539833181406e+00
3.810000000000000000e+02,3.092467827530208879e+00
3.820000000000000000e+02,3.105296010782776506e+00
3.830000000000000000e+02,3.118135988760682764e+00
3.840000000000000000e+02,3.130987660633725689e+00
3.850000000000000000e+02,3.143850925571703758e+00
3.860000000000000000e+02,3.156725682744414563e+00
3.870000000000000000e+02,3.169611831321656137e+00
3.880000000000000000e+02,3.182509270473226515e+00
3.890000000000000000e+02,3.195417899368922399e+00
3.900000000000000000e+02,3.208337617178544932e+00
3.910000000000000000e+02,3.221268323071889039e+00
3.920000000000000000e+02,3.234209916218754977e+00
3.930000000000000000e+02,3.247162295788939890e+00
3.940000000000000000e+02,3.260125360952240481e+00
3.950000000000000000e+02,3.273099010878458337e+00
3.960000000000000000e+02,3.286083144737387496e+00
3.970000000000000000e+02,3.299077661698827768e+00
3.980000000000000000e+02,3.312082460932578520e+00
3.990000000000000000e+02,3.325097441608435567e+00
4.000000000000000000e+02,3.338122502896197386e+00
4.010000000000000000e+02,3.351157543965662899e+00
4.020000000000000000e+02,3.364202463986629255e+00
4.030000000000000000e+02,3.377257162128896262e+00
4.040000000000000000e+02,3.390321537562259291e+00
4.050000000000000000e+02,3.403395489456518597e+00
4.060000000000000000e+02,3.416478916981470881e+00
4.070000000000000000e+02,3.429571719306914623e+00
4.080000000000000000e+02,3.442673795602647857e+00
4.090000000000000000e+02,3.455785045038468617e+00
4.100000000000000000e+02,3.468905366784174937e+00
4.110000000000000000e+02,3.482034660009563520e+00
4.120000000000000000e+02,3.495172823884435509e+00
4.130000000000000000e+02,3.508319757578586273e+00
4.140000000000000000e+02,3.521475360261815180e+00
4.150000000000000000e+02,3.534639531103920262e+00
4.160000000000000000e+02,3.547812169274698224e+00
4.170000000000000000e+02,3.560993173943948875e+00
4.180000000000000000e+02,3.574182444281468030e+00
4.190000000000000000e+02,3.587379879457055942e+00
4.200000000000000000e+02,3.600585378640509315e+00
4.210000000000000000e+02,3.613798841001626627e+00
4.220000000000000000e+02,3.627020165710206356e+00
4.230000000000000000e+02,3.640249251936044761e+00
4.240000000000000000e+02,3.653485998848942540e+00
4.250000000000000000e+02,3.666730305618696395e+00
4.260000000000000000e+02,3.679982071415103917e+00
4.270000000000000000e+02,3.693241195407963584e+00
4.280000000000000000e+02,3.706507576767073431e+00
4.290000000000000000e+02,3.719781114662231936e+00
4.300000000000000000e+02,3.733061708263235801e+00
4.310000000000000000e+02,3.746349256739884392e+00
4.320000000000000000e+02,3.759643659261975301e+00
4.330000000000000000e+02,3.772944814999305674e+00
4.340000000000000000e+02,3.786252623121675320e+00
4.350000000000000000e+02,3.799566982798880943e+00
4.360000000000000000e+02,3.812887793200721465e+00
4.370000000000000000e+02,3.826214953496994475e+00
4.380000000000000000e+02,3.839548362857497565e+00
4.390000000000000000e+02,3.852887920452029213e+00
4.400000000000000000e+02,3.866233525450388342e+00
4.410000000000000000e+02,3.879585077022371209e+00
4.420000000000000000e+02,3.892942474337776293e+00
4.430000000000000000e+02,3.906305616566402961e+00
4.440000000000000000e+02,3.919674402878048358e+00
4.450000000000000000e+02,3.933048732442509188e+00
4.460000000000000000e+02,3.946428504429585704e+00
4.470000000000000000e+02,3.959813618009074609e+00
4.480000000000000000e+02,3.973203972350774826e+00
4.490000000000000000e+02,3.986599466624483945e+00
4.500000000000000000e+02,4.000000000000000000e+00
4.510000000000000000e+02,4.013405471647121026e+00
4.520000000000000000e+02,4.026815780735644168e+00
4.530000000000000000e+02,4.040230826435369238e+00
4.540000000000000000e+02,4.053650507916093382e+00
4.550000000000000000e+02,4.067074724347614634e+00
4.560000000000000000e+02,4.080503374899730140e+00
4.570000000000000000e+02,4.093936358742238824e+00
4.580000000000000000e+02,4.107373575044939606e+00
4.590000000000000000e+02,4.120814922977628747e+00
4.600000000000000000e+02,4.134260301710106056e+00
4.610000000000000000e+02,4.147709610412168679e+00
4.620000000000000000e+02,4.161162748253612875e+00
4.630000000000000000e+02,4.174619614404240231e+00
4.640000000000000000e+02,4.188080108033845228e+00
4.650000000000000000e+02,4.201544128312229454e+00
4.660000000000000000e+02,4.215011574409188277e+00
4.670000000000000000e+02,4.228482345494520622e+00
4.680000000000000000e+02,4.241956340738025411e+00
4.690000000000000000e+02,4.255433459309498012e+00
4.700000000000000000e+02,4.268913600378740014e+00
4.710000000000000000e+02,4.282396663115546787e+00
4.720000000000000000e+02,4.295882546689716364e+00
4.730000000000000000e+02,4.309371150271048556e+00
4.740000000000000000e+02,4.322862373029340510e+00
4.750000000000000000e+02,4.336356114134390261e+00
4.760000000000000000e+02,4.349852272755995841e+00
4.770000000000000000e+02,4.363350748063954399e+00
4.780000000000000000e+02,4.376851439228065743e+00
4.790000000000000000e+02,4.390354245418126133e+00
4.800000000000000000e+02,4.403859065803935380e+00
4.810000000000000000e+02,4.417365799555289740e+00
4.820000000000000000e+02,4.430874345841988138e+00
4.830000000000000000e+02,4.444384603833829495e+00
4.840000000000000000e+02,4.457896472700610069e+00
4.850000000000000000e+02,4.471409851612129671e+00
4.860000000000000000e+02,4.484924639738184560e+00
4.870000000000000000e+02,4.498440736248573657e+00
4.880000000000000000e+02,4.511958040313094997e+00
4.890000000000000000e+02,4.525476451101545727e+00
4.900000000000000000e+02,4.538995867783726545e+00
4.910000000000000000e+02,4.552516189529432822e+00
4.920000000000000000e+02,4.566037315508463479e+00
4.930000000000000000e+02,4.579559144890616551e+00
4.940000000000000000e+02,4.593081576845689185e+00
4.950000000000000000e+02,4.606604510543481190e+00
4.960000000000000000e+02,4.620127845153789714e+00
4.970000000000000000e+02,4.633651479846411902e+00
4.980000000000000000e+02,4.647175313791147566e+00
4.990000000000000000e+02,4.660699246157792963e+00
5.000000000000000000e+02,4.674223176116147016e+00
5.010000000000000000e+02,4.687747002836009536e+00
5.020000000000000000e+02,4.701270625487175003e+00
5.030000000000000000e+02,4.714793943239443230e+00
5.040000000000000000e+02,4.728316855262612250e+00
5.050000000000000000e+02,4.741839260726480099e+00
5.060000000000000000e+02,4.755361058800845697e+00
5.070000000000000000e+02,4.768882148655504416e+00
5.080000000000000000e+02,4.782402429460257842e+00
5.090000000000000000e+02,4.795921800384900457e+00
5.100000000000000000e+02,4.809440160599232961e+00
5.110000000000000000e+02,4.822957409273052498e+00
5.120000000000000000e+02,4.836473445576156216e+00
5.130000000000000000e+02,4.849988168678344813e+00
5.140000000000000000e+02,4.863501477749411883e+00
5.150000000000000000e+02,4.877013271959159901e+00
5.160000000000000000e+02,4.890523450477386014e+00
5.170000000000000000e+02,4.904031912473884702e+00
5.180000000000000000e+02,4.917538557118458442e+00
5.190000000000000000e+02,4.931043283580901715e+00
5.200000000000000000e+02,4.944545991031016108e+00
5.210000000000000000e+02,4.958046578638596991e+00
5.220000000000000000e+02,4.971544945573444174e+00
5.230000000000000000e+02,4.985040991005353916e+00
5.240000000000000000e+02,4.998534614104124252e+00
5.250000000000000000e+02,5.012025714039555879e+00
5.260000000000000000e+02,5.025514189981444169e+00
5.270000000000000000e+02,5.038999941099586266e+00
5.280000000000000000e+02,5.052482866563783759e+00
5.290000000000000000e+02,5.065962865543832017e+00
5.300000000000000000e+02,5.079439837209530850e+00
5.310000000000000000e+02,5.092913680730677406e+00
5.320000000000000000e+02,5.106384295277069718e+00
5.330000000000000000e+02,5.119851580018504933e+00
5.340000000000000000e+02,5.133315434124781973e+00
5.350000000000000000e+02,5.146775756765698873e+00
5.360000000000000000e+02,5.160232447111053666e+00
5.370000000000000000e+02,5.173685404330644388e+00
5.380000000000000000e+02,5.187134527594269073e+00
5.390000000000000000e+02,5.200579716071725755e+00
5.400000000000000000e+02,5.214020868932811581e+00
5.410000000000000000e+02,5.227457885347326361e+00
5.420000000000000000e+02,5.240890664485067241e+00
5.430000000000000000e+02,5.254319105515831367e+00
5.440000000000000000e+02,5.267743107609418551e+00
5.450000000000000000e+02,5.281162569935625939e+00
5.460000000000000000e+02,5.294577391664250676e+00
5.470000000000000000e+02,5.307987471965091686e+00
5.480000000000000000e+02,5.321392710007947890e+00
5.490000000000000000e+02,5.334793004962615548e+00
5.500000000000000000e+02,5.348188255998893581e+00
5.510000000000000000e+02,5.361578362286579136e+00
5.520000000000000000e+02,5.374963222995472911e+00
5.530000000000000000e+02,5.388342737295370277e+00
5.540000000000000000e+02,5.401716804356069268e+00
5.550000000000000000e+02,5.415085323347368806e+00
5.560000000000000000e+02,5.428448193439067815e+00
5.570000000000000000e+02,5.441805313800963440e+00
5.580000000000000000e+02,5.455156583602853715e+00
5.590000000000000000e+02,5.468501902014534899e+00
5.600000000000000000e+02,5.481841168205808579e+00
5.610000000000000000e+02,5.495174281346470124e+00
5.620000000000000000e+02,5.508501140606318458e+00
5.630000000000000000e+02,5.521821645155151614e+00
5.640000000000000000e+02,5.535135694162766740e+00
5.650000000000000000e+02,5.548443186798963644e+00
5.660000000000000000e+02,5.561744022233540363e+00
5.670000000000000000e+02,5.575038099636292266e+00
5.680000000000000000e+02,5.588325318177019163e+00
5.690000000000000000e+02,5.601605577025519089e+00
5.700000000000000000e+02,5.614878775351590967e+00
5.710000000000000000e+02,5.628144812325031054e+00
5.720000000000000000e+02,5.641403587115639162e+00
5.730000000000000000e+02,5.654654998893211548e+00
5.740000000000000000e+02,5.667898946827546247e+00
5.750000000000000000e+02,5.681135330088443069e+00
5.760000000000000000e+02,5.694364047845700050e+00
5.770000000000000000e+02,5.707584999269112558e+00
5.780000000000000000e+02,5.720798083528482181e+00
5.790000000000000000e+02,5.734003199793602512e+00
5.800000000000000000e+02,5.747200247234276027e+00
