#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 17 999 99.0 99.0  0.93  5.88  4.22  28 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 01 00 47 999 99.0 99.0  0.90  6.67  4.13  48 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 01 01 17 999 99.0 99.0  0.88  6.25  4.25  45 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 01 01 47 999 99.0 99.0  0.80  6.25  4.06  44 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 01 02 17 999 99.0 99.0  0.81  6.67  4.09  57 9999.0 999.0  14.0 999.0 99.0 99.00
2014 01 01 02 47 999 99.0 99.0  0.77  6.25  3.99  30 9999.0 999.0  13.9 999.0 99.0 99.00
2014 01 01 03 17 999 99.0 99.0  0.73  6.25  4.01  57 9999.0 999.0  13.8 999.0 99.0 99.00
2014 01 01 03 47 999 99.0 99.0  0.74  6.25  3.80  37 9999.0 999.0  13.7 999.0 99.0 99.00
2014 01 01 04 17 999 99.0 99.0  0.76  6.25  3.94  47 9999.0 999.0  13.7 999.0 99.0 99.00
2014 01 01 04 47 999 99.0 99.0  0.73  5.88  3.95  49 9999.0 999.0  13.7 999.0 99.0 99.00
2014 01 01 05 17 999 99.0 99.0  0.69  5.56  3.91  42 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 01 05 47 999 99.0 99.0  0.67  5.88  4.02  54 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 01 06 17 999 99.0 99.0  0.63  5.88  3.80  48 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 01 06 47 999 99.0 99.0  0.65  5.88  3.97  47 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 01 07 17 999 99.0 99.0  0.64  7.14  4.10 110 9999.0 999.0  13.5 999.0 99.0 99.00
