#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 16 999 99.0 99.0  1.59  9.88  6.75  24 9999.0 999.0  10.9 999.0 99.0 99.00
2020 01 01 00 46 999 99.0 99.0  1.53  9.88  6.65  42 9999.0 999.0  10.9 999.0 99.0 99.00
2020 01 01 01 16 999 99.0 99.0  1.63  9.88  6.96  38 9999.0 999.0  10.9 999.0 99.0 99.00
2020 01 01 01 46 999 99.0 99.0  1.61 10.53  7.06  41 9999.0 999.0  11.0 999.0 99.0 99.00
2020 01 01 02 16 999 99.0 99.0  1.41 10.53  6.38  47 9999.0 999.0  10.9 999.0 99.0 99.00
2020 01 01 02 46 999 99.0 99.0  1.62  9.88  6.82  57 9999.0 999.0  10.9 999.0 99.0 99.00
2020 01 01 03 16 999 99.0 99.0  1.61 10.53  6.65  33 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 03 46 999 99.0 99.0  1.49  9.88  6.04  34 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 04 16 999 99.0 99.0  1.46 11.11  6.05  37 9999.0 999.0  10.7 999.0 99.0 99.00
2020 01 01 04 46 999 99.0 99.0  1.54 10.53  6.13  52 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 05 16 999 99.0 99.0  1.43 11.11  5.86  47 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 05 46 999 99.0 99.0  1.44  9.88  5.95  33 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 06 16 999 99.0 99.0  1.43  9.88  5.94  47 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 06 46 999 99.0 99.0  1.35 10.53  5.62  51 9999.0 999.0  10.7 999.0 99.0 99.00
2020 01 01 07 16 999 99.0 99.0  1.29 10.53  5.35  55 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 07 46 999 99.0 99.0  1.34  9.88  4.99  42 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 08 16 999 99.0 99.0  1.30 10.53  4.84  51 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 08 46 999 99.0 99.0  1.27  9.88  4.78  44 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 09 16 999 99.0 99.0  1.16  7.14  4.56 155 9999.0 999.0  10.8 999.0 99.0 99.00
2020 01 01 09 46 999 99.0 99.0  1.19 10.53  5.14  58 9999.0 999.0  10.8 999.0 99.0 99.00
