#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 18 999 99.0 99.0  2.21  6.25  5.01   6 9999.0 999.0  11.0 999.0 99.0 99.00
2018 01 01 00 48 999 99.0 99.0  2.30  6.25  5.16   9 9999.0 999.0  11.0 999.0 99.0 99.00
2018 01 01 01 18 999 99.0 99.0  2.41  6.25  5.23 357 9999.0 999.0  11.0 999.0 99.0 99.00
2018 01 01 01 48 999 99.0 99.0  2.49  6.25  5.24 359 9999.0 999.0  11.0 999.0 99.0 99.00
2018 01 01 02 18 999 99.0 99.0  2.12  6.25  5.04   0 9999.0 999.0  10.9 999.0 99.0 99.00
2018 01 01 02 48 999 99.0 99.0  2.28  6.67  5.18 359 9999.0 999.0  10.9 999.0 99.0 99.00
2018 01 01 03 18 999 99.0 99.0  2.28  6.25  5.22   2 9999.0 999.0  10.8 999.0 99.0 99.00
2018 01 01 03 48 999 99.0 99.0  2.35  6.67  5.24  12 9999.0 999.0  10.8 999.0 99.0 99.00
2018 01 01 04 18 999 99.0 99.0  2.39  6.67  5.19   4 9999.0 999.0  10.8 999.0 99.0 99.00
2018 01 01 04 48 999 99.0 99.0  2.25  6.67  5.08   4 9999.0 999.0  10.7 999.0 99.0 99.00
2018 01 01 05 18 999 99.0 99.0  2.41  7.14  5.24  17 9999.0 999.0  10.7 999.0 99.0 99.00
2018 01 01 05 48 999 99.0 99.0  2.36  6.67  5.11   7 9999.0 999.0  10.7 999.0 99.0 99.00
2018 01 01 06 18 999 99.0 99.0  2.45  6.25  5.29   6 9999.0 999.0  10.7 999.0 99.0 99.00
2018 01 01 06 48 999 99.0 99.0  2.34  6.67  5.15  13 9999.0 999.0  10.6 999.0 99.0 99.00
2018 01 01 07 18 999 99.0 99.0  2.72  6.67  5.66   7 9999.0 999.0  10.5 999.0 99.0 99.00
2018 01 01 07 48 999 99.0 99.0  2.63  7.14  5.56  14 9999.0 999.0  10.4 999.0 99.0 99.00
2018 01 01 08 18 999 99.0 99.0  2.92  7.69  5.97  19 9999.0 999.0  10.4 999.0 99.0 99.00
2018 01 01 08 48 999 99.0 99.0  3.17  7.14  6.07  10 9999.0 999.0  10.4 999.0 99.0 99.00
2018 01 01 09 18 999 99.0 99.0  3.08  7.69  5.94  17 9999.0 999.0  10.3 999.0 99.0 99.00
2018 01 01 09 48 999 99.0 99.0  2.99  7.69  5.96  16 9999.0 999.0  10.3 999.0 99.0 99.00
2018 01 01 10 18 999 99.0 99.0  3.04  7.14  5.82   6 9999.0 999.0  10.2 999.0 99.0 99.00
2018 01 01 10 48 999 99.0 99.0  2.86  7.69  5.71  12 9999.0 999.0  10.2 999.0 99.0 99.00
2018 01 01 11 18 999 99.0 99.0  3.15  7.69  6.13   6 9999.0 999.0  10.2 999.0 99.0 99.00
2018 01 01 11 48 999 99.0 99.0  2.99  7.69  5.94  16 9999.0 999.0  10.1 999.0 99.0 99.00
2018 01 01 12 18 999 99.0 99.0  3.08  7.69  5.91  20 9999.0 999.0  10.1 999.0 99.0 99.00
2018 01 01 12 48 999 99.0 99.0  3.21  7.69  6.06  10 9999.0 999.0  10.1 999.0 99.0 99.00
2018 01 01 13 18 999 99.0 99.0  2.85  8.33  5.83  27 9999.0 999.0  10.2 999.0 99.0 99.00
2018 01 01 13 48 999 99.0 99.0  3.01  7.69  5.83  21 9999.0 999.0  10.2 999.0 99.0 99.00
