#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 03 24 22 18 999 99.0 99.0  0.82 10.53  5.30  69 9999.0 999.0   9.1 999.0 99.0 99.00
2017 03 24 22 48 999 99.0 99.0  0.87 10.53  5.23  68 9999.0 999.0   9.0 999.0 99.0 99.00
2017 03 24 23 18 999 99.0 99.0  0.86  9.09  5.12  75 9999.0 999.0   8.9 999.0 99.0 99.00
2017 03 24 23 48 999 99.0 99.0  0.91 10.53  5.33  79 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 00 18 999 99.0 99.0  0.87  9.88  5.08  65 9999.0 999.0   8.9 999.0 99.0 99.00
2017 03 25 00 48 999 99.0 99.0  0.88 10.53  5.31  65 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 01 18 999 99.0 99.0  0.90  9.88  5.46  78 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 01 48 999 99.0 99.0  0.92  9.88  5.33  79 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 02 18 999 99.0 99.0  0.83  9.09  5.09  85 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 02 48 999 99.0 99.0  0.80 11.11  5.17  69 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 03 18 999 99.0 99.0  0.83 10.53  5.16  78 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 03 48 999 99.0 99.0  0.82 11.11  5.17  76 9999.0 999.0   8.7 999.0 99.0 99.00
2017 03 25 04 18 999 99.0 99.0  0.81 10.53  5.02  79 9999.0 999.0   8.7 999.0 99.0 99.00
2017 03 25 04 48 999 99.0 99.0  0.84  9.88  4.88  86 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 05 18 999 99.0 99.0  0.83  9.88  4.55  85 9999.0 999.0   8.7 999.0 99.0 99.00
2017 03 25 05 48 999 99.0 99.0  0.82 11.11  4.42  82 9999.0 999.0   8.8 999.0 99.0 99.00
2017 03 25 06 18 999 99.0 99.0  0.82  9.88  4.48  82 9999.0 999.0   8.9 999.0 99.0 99.00
2017 03 25 06 48 999 99.0 99.0  0.79  4.55  4.30 162 9999.0 999.0   8.9 999.0 99.0 99.00
2017 03 25 07 18 999 99.0 99.0  0.84  9.09  4.29  97 9999.0 999.0   9.0 999.0 99.0 99.00
2017 03 25 07 48 999 99.0 99.0  0.89 11.11  4.44  89 9999.0 999.0   9.0 999.0 99.0 99.00
2017 03 25 08 18 999 99.0 99.0  0.84 10.53  4.38  89 9999.0 999.0   8.7 999.0 99.0 99.00
