#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 50 999 99.0 99.0  0.96 11.11  4.48  69 9999.0 999.0  10.8 999.0 99.0 99.00
2013 01 01 06 20 999 99.0 99.0  0.81 11.11  4.12  73 9999.0 999.0  10.8 999.0 99.0 99.00
2013 01 01 06 50 999 99.0 99.0  0.82 11.11  4.30  52 9999.0 999.0  10.7 999.0 99.0 99.00
2013 01 01 07 20 999 99.0 99.0  0.76 10.53  4.28  72 9999.0 999.0  10.7 999.0 99.0 99.00
2013 01 01 07 50 999 99.0 99.0  0.74 11.76  4.24  65 9999.0 999.0  10.7 999.0 99.0 99.00
2013 01 01 08 20 999 99.0 99.0  0.75 11.11  4.22  69 9999.0 999.0  10.8 999.0 99.0 99.00
2013 01 01 08 50 999 99.0 99.0  0.73 11.11  4.13  69 9999.0 999.0  10.8 999.0 99.0 99.00
2013 01 01 09 20 999 99.0 99.0  0.75 11.11  4.16  79 9999.0 999.0  10.8 999.0 99.0 99.00
2013 01 01 09 50 999 99.0 99.0  0.71 11.11  4.10  69 9999.0 999.0  10.8 999.0 99.0 99.00
2013 01 01 10 20 999 99.0 99.0  0.69 11.11  4.17  62 9999.0 999.0  10.8 999.0 99.0 99.00
2013 01 01 10 50 999 99.0 99.0  0.69 11.11  3.88  78 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 11 20 999 99.0 99.0  0.69  5.56  3.90 182 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 11 50 999 99.0 99.0  0.69  5.88  3.96 177 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 12 20 999 99.0 99.0  0.68 10.53  3.96  62 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 12 50 999 99.0 99.0  0.72  5.88  3.84 180 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 13 20 999 99.0 99.0  0.75  6.25  3.89 180 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 13 50 999 99.0 99.0  0.73  5.88  3.68 183 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 14 20 999 99.0 99.0  0.74  5.88  3.71 179 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 14 50 999 99.0 99.0  0.73  5.88  3.55 177 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 15 20 999 99.0 99.0  0.73  5.88  3.68 182 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 15 50 999 99.0 99.0  0.73  5.26  3.66 182 9999.0 999.0  10.9 999.0 99.0 99.00
2013 01 01 16 20 999 99.0 99.0  0.75  5.26  3.61 175 9999.0 999.0  11.0 999.0 99.0 99.00
2013 01 01 16 50 999 99.0 99.0  0.69  5.88  3.63 180 9999.0 999.0  11.0 999.0 99.0 99.00
2013 01 01 17 20 999 99.0 99.0  0.72  5.56  3.81 180 9999.0 999.0  11.0 999.0 99.0 99.00
2013 01 01 17 50 999 99.0 99.0  0.72  5.56  3.79 176 9999.0 999.0  11.0 999.0 99.0 99.00
2013 01 01 18 20 999 99.0 99.0  0.72  5.88  3.66 180 9999.0 999.0  11.0 999.0 99.0 99.00
2013 01 01 18 50 999 99.0 99.0  0.75  5.56  3.69 177 9999.0 999.0  11.0 999.0 99.0 99.00
2013 01 01 19 20 999 99.0 99.0  0.78  5.56  3.80 177 9999.0 999.0  11.1 999.0 99.0 99.00
2013 01 01 19 50 999 99.0 99.0  0.76  5.88  3.71 175 9999.0 999.0  11.1 999.0 99.0 99.00
2013 01 01 20 20 999 99.0 99.0  0.75  5.56  3.84 176 9999.0 999.0  11.1 999.0 99.0 99.00
2013 01 01 20 50 999 99.0 99.0  0.75  5.00  4.10 176 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 01 21 20 999 99.0 99.0  0.71  5.88  4.24 177 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 01 21 50 999 99.0 99.0  0.67  5.56  4.32 172 9999.0 999.0  11.1 999.0 99.0 99.00
2013 01 01 22 20 999 99.0 99.0  0.67  5.88  4.51 172 9999.0 999.0  11.1 999.0 99.0 99.00
2013 01 01 22 50 999 99.0 99.0  0.64  5.26  4.59 175 9999.0 999.0  11.1 999.0 99.0 99.00
2013 01 01 23 20 999 99.0 99.0  0.66  5.56  4.78 175 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 01 23 50 999 99.0 99.0  0.68  5.88  4.86 176 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 02 00 20 999 99.0 99.0  0.65  5.26  4.90 177 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 02 00 50 999 99.0 99.0  0.73  5.56  4.95 179 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 02 01 20 999 99.0 99.0  0.78  5.88  4.95 180 9999.0 999.0  11.3 999.0 99.0 99.00
2013 01 02 01 50 999 99.0 99.0  0.77  5.88  4.71 179 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 02 02 20 999 99.0 99.0  0.82  5.88  4.96 179 9999.0 999.0  11.2 999.0 99.0 99.00
2013 01 02 02 50 999 99.0 99.0  0.81  5.56  4.75 179 9999.0 999.0  11.2 999.0 99.0 99.00
