#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  1.90  7.69  6.37 134 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  1.86  7.14  6.17 145 9999.0 999.0  14.0 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  1.73  7.14  6.01 145 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  1.73  7.69  6.02 132 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  1.71  7.14  6.00 142 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  1.76  7.14  6.03 138 9999.0 999.0  14.4 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  1.73  7.14  5.84 135 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  1.64  6.67  5.65 147 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  1.60  6.67  5.65 134 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  1.50  7.14  5.61 137 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  1.54  7.14  5.73 138 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  1.45  7.14  5.74 139 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  1.36  7.14  5.79 145 9999.0 999.0  14.6 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  1.41  7.69  5.87 132 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  1.39  7.14  5.97 139 9999.0 999.0  14.5 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  1.32  7.14  6.03 139 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  1.31  7.14  6.08 138 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  1.27  7.14  6.02 137 9999.0 999.0  13.7 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  1.28  7.14  6.36 135 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  1.20  7.14  6.28 138 9999.0 999.0  13.8 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  1.18  7.14  6.05 135 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  1.24  7.14  6.13 139 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  1.17  7.14  6.19 137 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  1.17  7.14  6.32 141 9999.0 999.0  13.6 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  1.12  6.67  6.49 138 9999.0 999.0  12.1 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  1.12  7.14  6.23 139 9999.0 999.0  11.6 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  1.20  7.14  6.28 137 9999.0 999.0  11.8 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  1.15  7.14  6.13 135 9999.0 999.0  12.1 999.0 99.0 99.00
2023 01 01 14 26 999 99.0 99.0  1.20  9.88  6.49 107 9999.0 999.0  12.5 999.0 99.0 99.00
2023 01 01 14 56 999 99.0 99.0  1.04  9.88  6.13 107 9999.0 999.0  12.7 999.0 99.0 99.00
2023 01 01 15 26 999 99.0 99.0  1.04  9.88  6.10 100 9999.0 999.0  13.2 999.0 99.0 99.00
2023 01 01 15 56 999 99.0 99.0  1.10  6.67  6.29 148 9999.0 999.0  13.5 999.0 99.0 99.00
2023 01 01 16 26 999 99.0 99.0  1.01  7.14  6.11 147 9999.0 999.0  13.9 999.0 99.0 99.00
2023 01 01 16 56 999 99.0 99.0  0.97  6.67  6.25 149 9999.0 999.0  14.3 999.0 99.0 99.00
2023 01 01 17 26 999 99.0 99.0  0.98  6.67  5.94 148 9999.0 999.0  14.7 999.0 99.0 99.00
2023 01 01 17 56 999 99.0 99.0  0.99  9.88  5.81 107 9999.0 999.0  15.1 999.0 99.0 99.00
2023 01 01 18 26 999 99.0 99.0  0.99  9.88  5.81 111 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 18 56 999 99.0 99.0  0.96  6.67  5.93 139 9999.0 999.0  15.6 999.0 99.0 99.00
2023 01 01 19 26 999 99.0 99.0  0.94 10.53  6.06 111 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 19 56 999 99.0 99.0  0.91  9.88  5.87 118 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 01 20 26 999 99.0 99.0  0.92  9.88  6.26  99 9999.0 999.0  16.2 999.0 99.0 99.00
2023 01 01 20 56 999 99.0 99.0  0.84  9.88  6.00 117 9999.0 999.0  16.4 999.0 99.0 99.00
2023 01 01 21 26 999 99.0 99.0  0.90  9.88  6.29 103 9999.0 999.0  16.7 999.0 99.0 99.00
2023 01 01 21 56 999 99.0 99.0  0.87  9.88  6.39 109 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 22 26 999 99.0 99.0  0.88  9.88  6.60 110 9999.0 999.0  17.0 999.0 99.0 99.00
2023 01 01 22 56 999 99.0 99.0  0.86  9.88  6.64 104 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 23 26 999 99.0 99.0  0.84  9.88  6.52 109 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 01 23 56 999 99.0 99.0  0.86  9.09  6.45 102 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 02 00 26 999 99.0 99.0  0.81  9.88  6.49 102 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 02 00 56 999 99.0 99.0  0.82  9.88  6.60  94 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 02 01 26 999 99.0 99.0  0.82  9.88  6.71 104 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 02 01 56 999 99.0 99.0  0.82  9.09  6.41 104 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 02 02 26 999 99.0 99.0  0.79  9.09  6.53 106 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 02 02 56 999 99.0 99.0  0.82 10.53  6.58 102 9999.0 999.0  16.7 999.0 99.0 99.00
2023 01 02 03 26 999 99.0 99.0  0.78  9.88  6.77 111 9999.0 999.0  16.7 999.0 99.0 99.00
2023 01 02 03 56 999 99.0 99.0  0.76 10.53  6.47 103 9999.0 999.0  16.5 999.0 99.0 99.00
2023 01 02 04 26 999 99.0 99.0  0.81  9.88  7.00 103 9999.0 999.0  16.4 999.0 99.0 99.00
2023 01 02 04 56 999 99.0 99.0  0.75  6.67  6.29 141 9999.0 999.0  16.3 999.0 99.0 99.00
2023 01 02 05 26 999 99.0 99.0  0.79  9.88  6.43  89 9999.0 999.0  16.1 999.0 99.0 99.00
2023 01 02 06 26 999 99.0 99.0  0.74 10.53  6.49 113 9999.0 999.0  16.0 999.0 99.0 99.00
2023 01 02 06 56 999 99.0 99.0  0.75 10.53  6.46 110 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 02 07 26 999 99.0 99.0  0.77  9.88  6.64 106 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 02 07 56 999 99.0 99.0  0.76  9.09  6.61 113 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 02 08 26 999 99.0 99.0  0.77  9.88  7.07 103 9999.0 999.0  15.7 999.0 99.0 99.00
2023 01 02 08 56 999 99.0 99.0  0.75  9.88  6.88  94 9999.0 999.0  15.7 999.0 99.0 99.00
2023 01 02 09 26 999 99.0 99.0  0.75  9.88  7.00 103 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 02 09 56 999 99.0 99.0  0.67  9.88  6.76 100 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 02 10 26 999 99.0 99.0  0.71  9.88  6.90  99 9999.0 999.0  15.9 999.0 99.0 99.00
